,original_code,new_code
0,DOM,DOM
1,LUX,LUX
2,ALG,DZA
3,CHN,CHN
4,SEN,SEN
5,SUR,SUR
6,,null
7,TUR,TUR
8,SCO,GBR
9,MLI,MLI
10,ARU,ABW
11,DEN,DNK
12,NOR,NOR
13,BRA,BRA
14,ARG,ARG
15,MWI,MWI
16,CIV,CIV
17,USA,USA
18,ECU,ECU
19,SVK,SVK
20,MLT,MLT
21,CAN,CAN
22,MKD,MKD
23,PER,PER
24,PHI,PHL
25,COL,COL
26,JOR,JOR
27,MNE,MNE
28,PAR,PRY
29,KEN,KEN
30,GUA,GTM
31,RUS,RUS
32,EST,EST
33,HAI,HTI
34,AFG,AFG
35,ISR,ISR
36,BLR,BLR
37,LTU,LTU
38,ENG,GBR
39,FRO,FRO
40,FRA,FRA
41,GER,DEU
42,ISL,ISL
43,POL,POL
44,KVX,null
45,NIR,GBR
46,THA,THA
47,CRC,CRI
48,CZE,CZE
49,ESP,ESP
50,CRO,HRV
51,ROU,ROU
52,MEX,MEX
53,AND,AND
54,TUN,TUN
55,ANG,AGO
56,BEL,BEL
57,FIN,FIN
58,LIE,LIE
59,WAL,GBR
60,SUI,CHE
61,GRE,GRC
62,KOR,KOR
63,ZAM,ZMB
64,VEN,VEN
65,BIH,BIH
66,AUS,AUS
67,TPE,TWN
68,AUT,AUT
69,HUN,HUN
70,ITA,ITA
71,POR,PRT
72,CHI,CHL
73,PAN,PAN
74,SWE,SWE
75,GHA,GHA
76,NGA,NGA
77,ALB,ALB
78,RSA,ZAF
79,AZE,AZE
80,EQG,GNQ
81,NZL,NZL
82,JAM,JAM
83,UKR,UKR
84,IRL,IRL
85,GUY,GUY
86,MAR,MAR
87,SRB,SRB
88,JPN,JPN
89,CMR,CMR
90,BUL,BGR
91,NED,NLD
92,CYP,CYP
93,SVN,SVN
